ID_Acquisto,Fornitore,Data_Acquisto,Materiale,Prezzo_Unitario,Quantità,Importo_Totale
ACQ-001,SwiftConstruct Supplies,07/03/2020,Coperture in tegole,15.77,111,1750.47
ACQ-002,EnviroStruct Innovations,03/03/2023,Sistema di riscaldamento a pavimento,312.11,57,17790.27
ACQ-003,InnoBuild Solutions,01/04/2021,Porte in legno massiccio,208.76,212,44257.119999999995
ACQ-004,EcoBuild Innovations,20/10/2020,Rivestimento in pietra naturale,42.72,116,4955.5199999999995
ACQ-005,Everlast Building Materials,12/10/2023,Scalini di granito,100.36,177,17763.72
ACQ-006,NexGen Construction Supply,03/07/2022,Impalcature,245.25,131,32127.75
ACQ-007,InnoGlobe Building Solutions,20/03/2020,Piastrelle in ceramica,31.59,485,15321.15
ACQ-008,Everlast Building Materials,09/02/2023,Piastrelle in ceramica,36.01,480,17284.8
ACQ-009,GreenHarbor Builders,29/10/2023,Calcestruzzo pronto,86.26,319,27516.940000000002
ACQ-010,EnviroStruct Innovations,11/07/2022,Pannelli solari termici,663.34,396,262682.64
ACQ-011,InnoGlobe Building Solutions,14/12/2022,Lastre di gesso,6.98,241,1682.18
ACQ-012,EliteBuild Innovations,20/02/2021,Impalcature,290.53,292,84834.76
ACQ-013,EcoBuild Innovations,11/01/2021,Finitura a gesso,28.01,366,10251.66
ACQ-014,Everlast Building Materials,22/02/2021,Finitura a gesso,10.99,250,2747.5
ACQ-015,NexGen Construction Supply,03/09/2022,Lastre di gesso,11.21,64,717.44
ACQ-016,InnoBuild Solutions,27/04/2021,Legname da costruzione,587.73,493,289750.89
ACQ-017,PrimeStone Construction Supplies,24/10/2023,Impalcature,250.0,420,105000.0
ACQ-018,EcoMaterials Group,03/05/2022,Pannelli solari termici,882.39,487,429723.93
ACQ-019,Pinnacle Builders Supply,15/05/2021,Isolamento termico,24.26,90,2183.4
ACQ-020,BuildTech Solutions,31/03/2020,Mattoni ceramici,0.43,132,56.76
ACQ-021,GreenHarbor Builders,11/11/2022,Cemento Portland,61.72,462,28514.64
ACQ-022,SwiftConstruct Supplies,11/09/2020,Scalini di granito,98.51,30,2955.3
ACQ-023,SwiftConstruct Supplies,13/08/2022,Calcestruzzo pronto,111.83,377,42159.909999999996
ACQ-024,EnviroStruct Innovations,03/12/2022,Rivestimento in pietra naturale,26.64,188,5008.32
ACQ-025,UrbanBuild Materials,04/07/2023,Cartongesso,8.29,125,1036.25
ACQ-026,UrbanBuild Materials,10/03/2022,Scalini di granito,71.04,126,8951.04
ACQ-027,SwiftConstruct Supplies,17/05/2022,Calcestruzzo pronto,99.59,254,25295.86
ACQ-028,UrbanBuild Materials,23/05/2022,Impalcature,402.17,458,184193.86000000002
ACQ-029,EnviroStruct Innovations,27/12/2021,Sistema di riscaldamento a pavimento,467.03,222,103680.65999999999
ACQ-030,InnoGlobe Building Solutions,05/07/2022,Porte in legno massiccio,279.87,287,80322.69
ACQ-031,MetroConstruct Distributors,09/08/2022,Pittura acrilica,28.4,61,1732.3999999999999
ACQ-032,TechStruct Supplies,28/01/2023,Scalini di granito,62.55,243,15199.65
ACQ-033,EcoMaterials Group,28/09/2021,Mattoni ceramici,0.37,484,179.07999999999998
ACQ-034,GreenHarbor Builders,04/04/2020,Cemento Portland,66.67,472,31468.24
ACQ-035,InnoConstruct Supplies,16/02/2022,Coperture in tegole,18.03,84,1514.52
ACQ-036,InnoGlobe Building Solutions,13/08/2020,Finitura a gesso,14.34,486,6969.24
ACQ-037,BuildTech Solutions,12/11/2021,Finestre in alluminio,93.68,123,11522.640000000001
ACQ-038,EcoBuild Innovations,11/04/2023,Piastrelle in ceramica,28.96,211,6110.56
ACQ-039,EcoMaterials Group,10/01/2023,Legname da costruzione,542.31,266,144254.46
ACQ-040,EcoBuild Innovations,30/08/2021,Pittura acrilica,44.03,161,7088.83
ACQ-041,PrimeStone Construction Supplies,08/09/2023,Porte in legno massiccio,214.32,440,94300.8
ACQ-042,SwiftConstruct Supplies,09/02/2023,Mattoni ceramici,0.24,326,78.24
ACQ-043,UrbanBuild Materials,24/01/2022,Ferro per armatura,1.61,431,693.9100000000001
ACQ-044,UrbanBuild Materials,07/05/2023,Calcestruzzo pronto,102.54,186,19072.440000000002
ACQ-045,EliteBuild Innovations,31/01/2023,Finestre in alluminio,179.71,406,72962.26000000001
ACQ-046,CityBuild Materials Co.,14/02/2021,Scalini di granito,106.21,429,45564.09
ACQ-047,BuildTech Solutions,12/08/2021,Mattoni ceramici,0.49,248,121.52
ACQ-048,PrimeStone Construction Supplies,09/11/2021,Pittura acrilica,45.85,480,22008.0
ACQ-049,InnoGlobe Building Solutions,16/12/2021,Sistema di riscaldamento a pavimento,685.37,437,299506.69
ACQ-050,EliteBuild Innovations,20/09/2021,Mattoni ceramici,0.36,206,74.16
ACQ-051,EcoBuild Innovations,18/11/2021,Legname da costruzione,302.7,438,132582.6
ACQ-052,EliteBuild Innovations,14/05/2021,Pannelli solari termici,614.95,341,209697.95
ACQ-053,HarborStone Builders,13/10/2022,Isolamento termico,27.32,467,12758.44
ACQ-054,EliteBuild Innovations,25/02/2023,Ferro per armatura,2.39,422,1008.58
ACQ-055,InnoConstruct Supplies,07/02/2021,Lastre di gesso,11.9,453,5390.7
ACQ-056,SwiftConstruct Supplies,22/02/2022,Impalcature,326.52,74,24162.48
ACQ-057,EnviroStruct Innovations,07/07/2021,Ferro per armatura,1.86,67,124.62
ACQ-058,Pinnacle Builders Supply,24/11/2020,Rivestimento in pietra naturale,44.86,499,22385.14
ACQ-059,ProStruct Materials,20/09/2020,Pittura acrilica,28.53,354,10099.62
ACQ-060,EcoBuild Innovations,18/08/2021,Cemento Portland,51.99,171,8890.29
ACQ-061,ProStruct Materials,08/09/2020,Isolamento termico,28.66,466,13355.56
ACQ-062,InnoGlobe Building Solutions,04/04/2020,Coperture in tegole,12.84,24,308.15999999999997
ACQ-063,EliteBuild Innovations,28/12/2020,Pannelli solari termici,905.69,70,63398.3
ACQ-064,TechStruct Supplies,06/12/2021,Isolamento termico,24.95,171,4266.45
ACQ-065,EliteBuild Innovations,24/07/2022,Rivestimento in pietra naturale,75.3,54,4066.2
ACQ-066,PrimeStone Construction Supplies,25/11/2022,Pannelli solari termici,678.28,248,168213.44
ACQ-067,BuildTech Solutions,21/05/2020,Pannelli solari termici,849.38,476,404304.88
ACQ-068,EcoMaterials Group,30/07/2021,Calcestruzzo pronto,102.23,29,2964.67
ACQ-069,EnviroStruct Innovations,21/07/2021,Pittura acrilica,35.51,314,11150.14
ACQ-070,SwiftConstruct Supplies,15/03/2021,Ferro per armatura,1.54,148,227.92000000000002
ACQ-071,SwiftConstruct Supplies,04/06/2020,Finitura a gesso,10.61,61,647.2099999999999
ACQ-072,BuildTech Solutions,09/11/2021,Rivestimento in pietra naturale,51.64,314,16214.960000000001
ACQ-073,InnoGlobe Building Solutions,26/09/2022,Isolamento termico,11.45,57,652.65
ACQ-074,ProStruct Materials,03/09/2021,Scalini di granito,64.7,298,19280.600000000002
ACQ-075,Everlast Building Materials,08/01/2023,Rivestimento in pietra naturale,59.96,416,24943.36
ACQ-076,BuildTech Solutions,27/08/2021,Tubazioni in PVC,6.78,189,1281.42
ACQ-077,EcoBuild Innovations,30/09/2020,Finestre in alluminio,96.47,58,5595.26
ACQ-078,ProStruct Materials,01/10/2023,Ferro per armatura,1.55,336,520.8000000000001
ACQ-079,UrbanBuild Materials,19/11/2021,Pannelli solari termici,567.78,396,224840.87999999998
ACQ-080,HarborStone Builders,03/05/2022,Legname da costruzione,399.71,365,145894.15
ACQ-081,CityBuild Materials Co.,30/12/2022,Calcestruzzo pronto,86.54,25,2163.5
ACQ-082,MetroConstruct Distributors,21/05/2023,Finestre in alluminio,86.96,36,3130.56
ACQ-083,HarborStone Builders,28/10/2020,Tubazioni in PVC,6.6,32,211.2
ACQ-084,NexGen Construction Supply,17/03/2020,Tubazioni in PVC,3.22,487,1568.14
ACQ-085,HarborStone Builders,26/09/2022,Cemento Portland,54.83,383,20999.89
ACQ-086,EnviroStruct Innovations,05/09/2022,Coperture in tegole,23.72,288,6831.36
ACQ-087,HarborStone Builders,07/04/2020,Piastrelle in ceramica,39.12,486,19012.32
ACQ-088,MetroConstruct Distributors,04/05/2021,Cemento Portland,77.86,443,34491.98
ACQ-089,EliteBuild Innovations,19/03/2022,Coperture in tegole,12.45,204,2539.7999999999997
ACQ-090,EnviroStruct Innovations,08/01/2020,Tubazioni in PVC,7.23,119,860.37
ACQ-091,EcoMaterials Group,24/01/2021,Isolamento termico,13.3,410,5453.0
ACQ-092,EnviroStruct Innovations,15/06/2021,Rivestimento in pietra naturale,58.52,122,7139.4400000000005
ACQ-093,TechStruct Supplies,22/09/2021,Calcestruzzo pronto,86.49,316,27330.84
ACQ-094,InnoGlobe Building Solutions,17/03/2021,Rivestimento in pietra naturale,48.85,262,12798.7
ACQ-095,Everlast Building Materials,15/01/2020,Legname da costruzione,342.44,132,45202.08
ACQ-096,EnviroStruct Innovations,03/01/2022,Piastrelle in ceramica,25.74,171,4401.54
ACQ-097,ProStruct Materials,13/11/2022,Finestre in alluminio,124.67,152,18949.84
ACQ-098,Pinnacle Builders Supply,04/06/2020,Legname da costruzione,583.08,323,188334.84000000003
