ID_Vendita,Cliente,Data_vendita,Materiale,Prezzo_Unitario,Perc_Margine,Quantità,Importo_Totale
VND-001,EdilElegance Residenze,07/11/2022,Finestre in alluminio,175.73,34,36,8477.22
VND-002,EdilEco Residenze,19/07/2020,Coperture in tegole,23.77,39,72,2378.9
VND-003,EdilStyle Innovazioni,01/11/2021,Scalini di granito,85.33,37,66,7715.54
VND-004,CasaSostenibile Progetti,10/01/2022,Coperture in tegole,11.81,29,86,1310.2
VND-005,CasaFutura Design,10/10/2023,Sistema di riscaldamento a pavimento,571.03,25,54,38544.52
VND-006,EdilStyle Innovazioni,02/08/2022,Finestre in alluminio,103.96,27,43,5677.26
VND-007,GreenSolutions Costruzioni,07/06/2020,Finestre in alluminio,100.18,37,37,5078.12
VND-008,EdilElegance Residenze,05/01/2022,Pannelli solari termici,935.95,25,57,66686.44
VND-009,CasaSostenibile Progetti,10/06/2022,Pannelli solari termici,694.08,28,49,43532.7
VND-010,UrbanDesign & Edilizia,07/10/2021,Finestre in alluminio,147.75,40,95,19650.75
VND-011,GreenSolutions Costruzioni,22/02/2022,Lastre di gesso,5.02,27,51,325.15
VND-012,CasaBella Progetti,15/06/2023,Piastrelle in ceramica,24.58,26,50,1548.54
VND-013,EcoArchitettura Residenziale,30/05/2023,Finestre in alluminio,149.99,29,13,2515.33
VND-014,NuovaCasa Costruzioni,23/08/2022,Porte in legno massiccio,205.33,34,30,8254.27
VND-015,ArchitetturaVerde snc,15/02/2020,Pittura acrilica,33.11,34,99,4392.37
VND-016,ArchitetturaInnovativa srl,11/03/2023,Tubazioni in PVC,3.17,25,67,265.49
VND-017,GreenBuild Costruzioni,28/09/2021,Rivestimento in pietra naturale,26.61,30,20,691.86
VND-018,ImpreseEdili Rossi,09/03/2020,Calcestruzzo pronto,80.23,32,45,4765.66
VND-019,NuovaCasa Costruzioni,19/06/2020,Piastrelle in ceramica,19.83,27,91,2291.75
VND-020,NuovaCasa Costruzioni,29/12/2023,Sistema di riscaldamento a pavimento,448.25,25,75,42023.44
VND-021,EdilDesign Innovazioni,03/05/2020,Cemento Portland,96.97,34,48,6237.11
VND-022,EdilDesign Innovazioni,11/10/2021,Tubazioni in PVC,4.53,28,43,249.33
VND-023,ArchitetturaVerde snc,17/09/2020,Legname da costruzione,407.57,38,68,38246.37
VND-024,EdilStyle Innovazioni,25/12/2021,Lastre di gesso,10.02,38,45,622.24
VND-025,EdilArte Design,27/07/2023,Finitura a gesso,23.06,25,7,201.78
VND-026,CasaFutura Design,05/03/2021,Calcestruzzo pronto,90.17,25,58,6537.33
VND-027,GreenBuild Costruzioni,24/06/2022,Piastrelle in ceramica,23.33,28,11,328.49
VND-028,GreenSpace Costruzioni,25/12/2020,Calcestruzzo pronto,82.52,27,16,1676.81
VND-029,EdilArte Design,11/09/2020,Coperture in tegole,20.4,28,11,287.23
VND-030,TecnicoEdile Studio,31/10/2021,Cartongesso,14.84,37,90,1829.77
VND-031,TecnicoEdile Studio,02/06/2023,Lastre di gesso,12.06,38,22,366.14
VND-032,EdilElegance Residenze,11/11/2020,Ferro per armatura,1.8,33,74,177.16
VND-033,GreenSpace Costruzioni,16/04/2023,Finestre in alluminio,140.26,29,50,9046.77
VND-034,CasaModerna Progetti,06/02/2023,Rivestimento in pietra naturale,39.85,38,46,2529.68
VND-035,ArchitetturaInnovativa srl,10/01/2022,Ferro per armatura,1.28,33,75,127.68
VND-036,CasaFutura Design,01/10/2020,Impalcature,309.59,34,60,24891.04
VND-037,EcoBuild Residenze,14/07/2020,Finitura a gesso,24.53,39,16,545.55
VND-038,EdilCostruzioni Srl,14/10/2022,Rivestimento in pietra naturale,46.37,35,46,2879.58
VND-039,UrbanDesign & Edilizia,01/05/2021,Tubazioni in PVC,2.14,25,54,144.45
VND-040,ModernLiving Progetti,10/02/2023,Calcestruzzo pronto,103.46,38,9,1284.97
VND-041,ModernLiving Progetti,13/09/2021,Finitura a gesso,15.45,32,17,346.7
VND-042,NuovaCasa Costruzioni,18/11/2020,Calcestruzzo pronto,80.65,28,37,3819.58
VND-043,EdilStyle Innovazioni,25/02/2021,Finestre in alluminio,161.53,38,99,22068.23
VND-044,CasaBella Progetti,10/12/2020,Scalini di granito,113.45,34,32,4864.74
VND-045,Ambiente&Edilizia Studio,28/06/2020,Legname da costruzione,375.81,26,73,34567.0
VND-046,EdilEco Residenze,18/02/2022,Scalini di granito,58.62,35,53,4194.26
VND-047,CasaSostenibile Progetti,27/05/2021,Cemento Portland,59.32,36,60,4840.51
VND-048,UrbanDesign & Edilizia,19/07/2023,Cemento Portland,73.6,31,64,6170.62
VND-049,EdilElegance Residenze,11/08/2023,Finestre in alluminio,190.75,28,17,4150.72
